pressure,humidity,temperature,TVOC,CO2,Color temperature,LUX,DUV,Motion,O2voltage,O2,PM2.5,PM10,Datetime
979.9114585913162,57.26039195746097,19.89637692850665,3,424,3146.80263554695,783.87356,0.002727210521697998,False,1.392365066876475,20.229106053249385,0.0,0.0,05.05.2019. 18:09:39
979.8801856994515,57.26106937287951,19.911409922712483,1,413,3146.0472474317016,779.9414,0.002711355686187744,False,1.3938756884343035,20.25180191972936,6.8,31.3,05.05.2019. 18:09:59
979.9002814392421,57.235713286717,19.941475918982178,2,417,3145.2938747379453,782.56282,0.002712547779083252,False,1.3944579071597167,20.260549284935184,7.3,33.4,05.05.2019. 18:10:19
979.884884130175,57.12464692813073,19.966530923877144,0,405,3144.5287862669597,779.94136,0.002700425684452057,False,1.3925287175452399,20.23156477211805,7.3,32.6,05.05.2019. 18:10:40
979.9638084294545,57.07189070088379,19.981563930306585,0,400,3144.057158251072,783.87352,0.0027228444814682007,False,1.3922989771833203,20.228113109090888,7.0,30.4,05.05.2019. 18:11:00
980.0035137787283,56.99820243129734,20.006618946843084,3,420,3143.3829815252475,781.25206,0.002719692885875702,False,1.3924405979543666,20.230240846573384,7.1,35.4,05.05.2019. 18:11:20
979.9054515061696,56.972597114857756,20.03167397065554,3,424,3146.295409244414,781.25212,0.0026937201619148254,False,1.3923587726199842,20.22901148713905,6.9,32.8,05.05.2019. 18:11:40
980.0315483565178,56.919603373151496,20.04169598221779,0,400,3145.6096397797273,781.2521,0.002703621983528137,False,1.3926986624704958,20.23411805709705,7.6,37.0,05.05.2019. 18:12:00
979.9610332876842,56.797793352564774,20.066751016216585,3,424,3144.6768638227804,779.94136,0.002692610025405884,False,1.3925444531864672,20.23180118739388,7.3,33.9,05.05.2019. 18:12:20
979.9731791016969,56.777515500818964,20.09180605749134,3,424,3143.142839611898,778.63062,0.0027066990733146667,False,1.3928308418568056,20.236103945414044,7.3,32.3,05.05.2019. 18:12:41
979.9535628280116,56.75101152149193,20.096817066619405,3,424,3142.0746350349136,781.25204,0.00272504985332489,False,1.3927616050354052,20.23506371820038,7.0,30.4,05.05.2019. 18:13:01
980.0012038613634,56.69353167086017,20.126883127499603,4,427,3142.802220028679,782.56276,0.0027249380946159363,False,1.3927836349331235,20.235394699586546,6.5,26.0,05.05.2019. 18:13:21
980.0054063102293,56.603532502297014,20.14692717390717,4,427,3142.947909370409,782.56276,0.002721153199672699,False,1.3929000786782062,20.237144172627712,7.0,28.2,05.05.2019. 18:13:41
980.045107454058,56.519085370779855,20.171982238464988,2,415,3145.6195561807863,783.87354,0.00269269198179245,False,1.3929819040125884,20.23837353206204,6.5,26.8,05.05.2019. 18:14:01
979.9941863212853,56.50391352791037,20.192026295349933,5,434,3145.641122415875,785.18426,0.0027221590280532837,False,1.3928088119590873,20.23577296402788,6.3,22.4,05.05.2019. 18:14:21
979.9591387568305,56.425011399378654,20.2220923894085,4,427,3142.574969451598,782.56276,0.0027367621660232544,False,1.3934067663257277,20.244756744509534,6.0,25.9,05.05.2019. 18:14:41
979.9712719962912,56.33518698453729,20.24714747579419,4,427,3143.8886163244506,783.8735,0.0027323737740516663,False,1.3932588512981903,20.242534440916703,6.4,24.8,05.05.2019. 18:15:01
979.9282749749234,56.27208812802429,20.27220256945584,5,434,3146.811641294892,811.39868,0.0027782022953033447,False,1.3935641227380016,20.247120897267866,6.6,29.4,05.05.2019. 18:15:21
979.936652501349,56.20427131089626,20.31229073444847,5,434,3149.953118365243,812.70948,0.002774946391582489,False,1.393302911093627,20.24319640368904,6.5,24.4,05.05.2019. 18:15:41
979.8936430767186,56.10906019182653,20.33734584702761,5,434,3149.5337182014337,812.70946,0.0027959421277046204,False,1.3927773406766326,20.235300133476212,6.4,24.7,05.05.2019. 18:16:02
979.9609011024259,56.04593014267245,20.362400966882706,5,434,3149.92042002298,814.0202,0.0027962177991867065,False,1.3938473642800944,20.251376372232862,6.4,26.7,05.05.2019. 18:16:22
979.8786197650558,55.97251257111649,20.39747814690345,5,434,3152.4696544099197,814.02024,0.00277642160654068,False,1.394108575924469,20.25530086581169,6.8,27.6,05.05.2019. 18:16:42
979.9421190963584,55.90464051661132,20.43756637010374,5,439,3149.060585740003,811.39874,0.0028075724840164185,False,1.394102281667978,20.25520629970136,7.0,26.9,05.05.2019. 18:17:02
979.9266614567589,55.80937523068836,20.46262151906267,5,439,3151.960171021637,814.02024,0.0028047561645507812,False,1.3942376081825334,20.257239471073525,6.8,29.5,05.05.2019. 18:17:22
